|6.6.6
inf_a/gloss/build/PT_inf_gloss51_1.tab                                                              
           1
n,alqt. 
   2.1219957929415349E-314
   2.1219957929415349E-314
   675295952
           3
n,alqt.        node#          mu[O2],J/mol  
  0.00000        1.00000       -359200.     
 0.100000        2.00000       -359844.     
 0.200000        3.00000       -359844.     
 0.300000        4.00000       -359844.     
 0.400000        5.00000       -359848.     
 0.500000        6.00000       -359848.     
 0.600000        7.00000       -359848.     
 0.700000        8.00000       -359848.     
 0.800000        9.00000       -359848.     
 0.900000        10.0000       -359848.     
  1.00000        11.0000       -359848.     
  1.10000        12.0000       -359848.     
  1.20000        13.0000       -359324.     
  1.30000        14.0000       -359324.     
  1.40000        15.0000       -359324.     
  1.50000        16.0000       -359324.     
  1.60000        17.0000       -359324.     
  1.70000        18.0000       -359324.     
  1.80000        19.0000       -359324.     
  1.90000        20.0000       -359324.     
  2.00000        21.0000       -359324.     
  2.10000        22.0000       -359324.     
  2.20000        23.0000       -359324.     
  2.30000        24.0000       -359324.     
  2.40000        25.0000       -359324.     
  2.50000        26.0000       -359324.     
  2.60000        27.0000       -359324.     
  2.70000        28.0000       -359324.     
  2.80000        29.0000       -359324.     
  2.90000        30.0000       -359324.     
  3.00000        31.0000       -359324.     
  3.10000        32.0000       -359324.     
  3.20000        33.0000       -359324.     
  3.30000        34.0000       -359324.     
  3.40000        35.0000       -359324.     
  3.50000        36.0000       -359324.     
  3.60000        37.0000       -359324.     
  3.70000        38.0000       -359324.     
  3.80000        39.0000       -359324.     
  3.90000        40.0000       -359324.     
  4.00000        41.0000       -359324.     
  4.10000        42.0000       -359324.     
  4.20000        43.0000       -359324.     
  4.30000        44.0000       -359324.     
  4.40000        45.0000       -359324.     
  4.50000        46.0000       -359324.     
  4.60000        47.0000       -359324.     
  4.70000        48.0000       -359324.     
  4.80000        49.0000       -359324.     
  4.90000        50.0000       -359324.     
  5.00000        51.0000       -359324.     
  5.10000        52.0000       -359324.     
  5.20000        53.0000       -359324.     
  5.30000        54.0000       -359324.     
  5.40000        55.0000       -359324.     
  5.50000        56.0000       -359324.     
  5.60000        57.0000       -359324.     
  5.70000        58.0000       -359324.     
  5.80000        59.0000       -359324.     
  5.90000        60.0000       -359324.     
  6.00000        61.0000       -359324.     
  6.10000        62.0000       -359324.     
  6.20000        63.0000       -359324.     
  6.30000        64.0000       -359324.     
  6.40000        65.0000       -359324.     
  6.50000        66.0000       -359207.     
  6.60000        67.0000       -359207.     
  6.70000        68.0000       -359207.     
  6.80000        69.0000       -359207.     
  6.90000        70.0000       -359207.     
  7.00000        71.0000       -359207.     
  7.10000        72.0000       -359207.     
  7.20000        73.0000       -359207.     
  7.30000        74.0000       -359207.     
  7.40000        75.0000       -359207.     
  7.50000        76.0000       -359207.     
  7.60000        77.0000       -359207.     
  7.70000        78.0000       -359207.     
  7.80000        79.0000       -359207.     
  7.90000        80.0000       -359207.     
  8.00000        81.0000       -359207.     
  8.10000        82.0000       -359207.     
  8.20000        83.0000       -359207.     
  8.30000        84.0000       -359207.     
  8.40000        85.0000       -359207.     
  8.50000        86.0000       -359207.     
  8.60000        87.0000       -359207.     
  8.70000        88.0000       -359207.     
  8.80000        89.0000       -359207.     
  8.90000        90.0000       -359207.     
  9.00000        91.0000       -359207.     
  9.10000        92.0000       -359207.     
  9.20000        93.0000       -359207.     
  9.30000        94.0000       -359207.     
  9.40000        95.0000       -359207.     
  9.50000        96.0000       -359207.     
  9.60000        97.0000       -359207.     
  9.70000        98.0000       -359207.     
  9.80000        99.0000       -359207.     
  9.90000        100.000       -359207.     
  10.0000        101.000       -359207.     
  10.1000        102.000       -359207.     
  10.2000        103.000       -359207.     
  10.3000        104.000       -359207.     
  10.4000        105.000       -359207.     
  10.5000        106.000       -359207.     
  10.6000        107.000       -359207.     
  10.7000        108.000       -359207.     
  10.8000        109.000       -359207.     
  10.9000        110.000       -359207.     
  11.0000        111.000       -359207.     
  11.1000        112.000       -359207.     
  11.2000        113.000       -359207.     
  11.3000        114.000       -359207.     
  11.4000        115.000       -359207.     
  11.5000        116.000       -359207.     
  11.6000        117.000       -359207.     
  11.7000        118.000       -359207.     
  11.8000        119.000       -359207.     
  11.9000        120.000       -359207.     
  12.0000        121.000       -359207.     
  12.1000        122.000       -359207.     
  12.2000        123.000       -359207.     
  12.3000        124.000       -359207.     
  12.4000        125.000       -359207.     
  12.5000        126.000       -359207.     
  12.6000        127.000       -359207.     
  12.7000        128.000       -359207.     
  12.8000        129.000       -359207.     
  12.9000        130.000       -359207.     
  13.0000        131.000       -359207.     
  13.1000        132.000       -359207.     
  13.2000        133.000       -359207.     
  13.3000        134.000       -359207.     
  13.4000        135.000       -359207.     
  13.5000        136.000       -359207.     
  13.6000        137.000       -359207.     
  13.7000        138.000       -359207.     
  13.8000        139.000       -359207.     
  13.9000        140.000       -359207.     
  14.0000        141.000       -359207.     
  14.1000        142.000       -359207.     
  14.2000        143.000       -359207.     
  14.3000        144.000       -359207.     
  14.4000        145.000       -359207.     
  14.5000        146.000       -359207.     
  14.6000        147.000       -359207.     
  14.7000        148.000       -359207.     
  14.8000        149.000       -359207.     
  14.9000        150.000       -359207.     
  15.0000        151.000       -359207.     
  15.1000        152.000       -359207.     
  15.2000        153.000       -359207.     
  15.3000        154.000       -359207.     
  15.4000        155.000       -359207.     
  15.5000        156.000       -359207.     
  15.6000        157.000       -359207.     
  15.7000        158.000       -359207.     
  15.8000        159.000       -359207.     
  15.9000        160.000       -359207.     
  16.0000        161.000       -359207.     
  16.1000        162.000       -359207.     
  16.2000        163.000       -359207.     
  16.3000        164.000       -359207.     
  16.4000        165.000       -359207.     
  16.5000        166.000       -359207.     
  16.6000        167.000       -359207.     
  16.7000        168.000       -359207.     
  16.8000        169.000       -359207.     
  16.9000        170.000       -359207.     
  17.0000        171.000       -359207.     
  17.1000        172.000       -359207.     
  17.2000        173.000       -359207.     
  17.3000        174.000       -359207.     
  17.4000        175.000       -359207.     
  17.5000        176.000       -359207.     
  17.6000        177.000       -359207.     
  17.7000        178.000       -359207.     
  17.8000        179.000       -359207.     
  17.9000        180.000       -359207.     
  18.0000        181.000       -359147.     
  18.1000        182.000       -359147.     
  18.2000        183.000       -359147.     
  18.3000        184.000       -359147.     
  18.4000        185.000       -359097.     
  18.5000        186.000       -359097.     
  18.6000        187.000       -359097.     
  18.7000        188.000       -359097.     
  18.8000        189.000       -359097.     
  18.9000        190.000       -359097.     
  19.0000        191.000       -359097.     
  19.1000        192.000       -359147.     
  19.2000        193.000       -359147.     
  19.3000        194.000       -359147.     
  19.4000        195.000       -359147.     
  19.5000        196.000       -359147.     
  19.6000        197.000       -359147.     
  19.7000        198.000       -359147.     
  19.8000        199.000       -359147.     
  19.9000        200.000       -359147.     
  20.0000        201.000       -359147.     
  20.1000        202.000       -359147.     
  20.2000        203.000       -359147.     
  20.3000        204.000       -359147.     
  20.4000        205.000       -359147.     
  20.5000        206.000       -333567.     
  20.6000        207.000       -333570.     
  20.7000        208.000       -338677.     
  20.8000        209.000       -338677.     
  20.9000        210.000       -336930.     
